"PPEE"	"PPDE"	"PostFC"	"RealFC"
"CELF5"	0	1	0.000447269796210637	4.40477136250368e-06
"S1PR4"	1.57740487338742e-12	0.999999999998423	174.119944191375	252.600412071444
"C19orf77"	0.00593109018669535	0.994068909813305	0.164697591878639	0.159757856613415
"TLE2"	0.14659234477108	0.85340765522892	3.87343489000224	3.8777180067292
"NCLN"	0.511673111452776	0.488326888547224	2.75634998475466	2.75842200914309
"GNA15"	0.753977966517153	0.246022033482847	1.886860167628	1.89279889684478
"DOHH"	0.812492743423698	0.187507256576302	0.542253029923859	0.541863042780282
"GNA11"	0.919308241687403	0.0806917583125965	0.890844930107642	0.890739140542573
"NFIC"	0.95238541473785	0.0476145852621497	0.998053006579458	0.998052768238342
"AES"	0.961322190056766	0.0386778099432337	1.0019509312798	1.00195103224616
